timesteps,iterations,ep_rew_mean,ep_len_mean,entropy_loss,policy_gradient_loss,value_loss,explained_variance
2048,1,0,0,0,0,0,0
4096,2,0,0,-3.290703286975622,-0.028591249109013006,3442.1427593410017,-0.0013668537139892578
6144,3,0,0,-3.2411444798111915,-0.01921996761811897,9745.686765933036,-0.019588112831115723
8192,4,0,0,-3.242519499361515,-0.04813105348439421,205.49748651385306,0.033159077167510986
10240,5,0,0,-3.2478892363607885,-0.048920328362146395,293.60085574388506,-0.010504961013793945
12288,6,0,0,-3.2692604161798955,-0.03253911412903108,4095.363924431801,-0.009122371673583984
14336,7,0,0,-3.180270917713642,-0.03211354055820266,3525.200936412811,0.018363535404205322
16384,8,0,0,-3.184291563183069,-0.04652078446815722,439.3375705957413,0.054271399974823
18432,9,0,0,-3.1763956591486933,-0.045261796319391576,514.0693961024284,-0.04900074005126953
20480,10,0,0,-3.1677659161388876,-0.04554909960716032,441.03142923116684,0.014030277729034424
22528,11,0,0,-3.12507056966424,-0.04906447866233066,334.4699205636978,-0.04315149784088135
24576,12,0,0,-3.085108037292957,-0.05157477921748068,413.1437312245369,0.02442646026611328
26624,13,0,0,-3.136716300994158,-0.052843864748138,324.220060813427,-0.06485581398010254
28672,14,0,0,-3.028315031528473,-0.03191565330489539,5832.972858393192,-0.04846823215484619
30720,15,0,0,-3.0375782340765,-0.03561494220630266,2971.8909606933594,-0.07657694816589355
32768,16,0,0,-2.9894641414284706,-0.0358894904027693,3033.524223780632,0.044480741024017334
34816,17,0,0,-2.9814725019037724,-0.058987976773642,133.317290943861,0.2577921748161316
36864,18,0,0,-2.993762957304716,-0.0516262449324131,192.29617445468904,0.03196686506271362
38912,19,0,0,-2.9566135250031946,-0.04521766511315946,1616.9847357749939,-0.02490866184234619
40960,20,0,0,-2.9286238424479962,-0.053717078210320325,195.03566772341728,0.1685987114906311
43008,21,0,0,-2.9010231740772725,-0.023743726691463962,11273.329372167587,0.0011716485023498535
45056,22,0,0,-2.89984435737133,-0.0325389914913103,3085.9717718482016,-0.05894911289215088
47104,23,0,0,-2.885098458826542,-0.050577110433368946,303.27370262145996,0.18835324048995972
49152,24,0,0,-2.8017466850578785,-0.03059104009589646,3093.3512625217436,0.03910249471664429
51200,25,0,0,-2.7978247314691544,-0.044799135241191834,358.48458869457244,0.043968379497528076
53248,26,0,0,-2.7532921582460403,-0.05093713625392411,413.46104249954226,0.01623249053955078
55296,27,0,0,-2.7033754222095014,-0.032087451918050645,3267.4894773364067,0.030447423458099365
